LOC100506869	NR_126341.1
KIAA0753	NM_014804.2
SAFB2	NM_014649.2
LENG8-AS1	NR_126418.1.3
LENG8-AS1	NR_126418.1.2
LENG8-AS1	NR_126418.1
LENG8-AS1	NR_126418.1.4
SGK223	NM_001080826.2
SEC14L3	NM_174975.4
SEC14L2	NM_012429.4
SEC14L1	NM_001039573.2
SEC14L6	NM_001193336.2
SEC14L5	NM_014692.1
SEC14L4	NM_174977.3
LYRM4-AS1	NR_126015.1
UPF1	NM_001297549.1
CCND2-AS1	NR_125790.1
UPF2	NM_015542.3
SNED1	NM_001080437.1
IL1A	NM_000575.4
IL1B	NM_000576.2
ZNF33BP1	NR_051997.1
LOC100507437	NR_125384.1
MKX-AS1	NR_121652.1
KRT6B	NM_005555.3
KRT6C	NM_173086.4
KRT6A	NM_005554.3
COMP	NM_000095.2
COMT	NM_000754.3
LOC101927915	NR_125428.1
BACE1-AS	NR_037803.2
GNAQ	NM_002072.4
IL18	NM_001562.3
IL19	NM_153758.2
IL10	NM_000572.2
IL11	NM_000641.3
IL13	NM_002188.2
IL15	NM_000585.4
IL16	NM_172217.3
LOC101927911	NR_110818.1
EFHD2	NM_024329.5
EFHD1	NM_025202.3
PINX1	NM_017884.5
CADM3-AS1	NR_037870.1
AEBP1	NM_001129.4
GNAZ	NM_002073.2
AEBP2	NM_001114176.1
LTA4H	NM_000895.2
LOC100130744	NR_046285.1
HMGN3-AS1	NR_040671.1
ABHD12B	NM_001206673.1
ZDHHC20	NM_153251.3
ZDHHC21	NM_178566.4
ZDHHC22	NM_174976.2
ZDHHC23	NM_173570.3
ZDHHC24	NM_207340.1
BPY2B	NM_001002760.1.2
BPY2B	NM_001002760.1.3
BPY2B	NM_001002760.1
BPY2C	NM_001002761.1.3
BPY2C	NM_001002761.1.2
BPY2C	NM_001002761.1
MED15P9	NR_033903.1
ISL1	NM_002202.2
ISL2	NM_145805.2
THAP9-AS1	NR_034075.1
MROH9	NM_001163629.1
MROH8	NM_152503.5
MS4A8	NM_031457.1
MROH5	NM_207414.2
MROH5	NM_207414.2.2
MS4A7	NM_021201.4
MROH7	NM_001039464.3
MS4A5	NM_023945.2
MS4A2	NM_000139.4
MS4A3	NM_006138.4
MS4A1	NM_021950.3
ZNF141	NM_003441.2
ZNF140	NM_003440.3
ZNF143	NM_003442.5
ZNF142	NM_001105537.2
DNTT	NM_004088.3
ZNF146	NM_001099638.1
ZNF148	NM_021964.2
DSC2	NM_024422.4
DDX31	NM_022779.7
DSC1	NM_024421.2
MAGOH	NM_002370.3
DDX3X	NM_001356.4
C20orf27	NM_001039140.2
C20orf24	NM_199483.2
VWA9	NM_001207058.1
VWA7	NM_025258.2.5
VWA7	NM_025258.2.4
VWA7	NM_025258.2.6
VWA7	NM_025258.2.3
VWA7	NM_025258.2.2
VWA7	NM_025258.2
VWA2	NM_001272046.1
RANGAP1	NM_001278651.1
VWA1	NM_022834.4
KCNN4	NM_002250.2
OR4F13P	NR_046417.1
KCNN2	NM_021614.3
KCNN1	NM_002248.4
DSG2-AS1	NR_045216.1
ISLR	NM_005545.3
PKIG	NM_001281444.1
PKIA	NM_006823.3
PKIB	NM_001270394.1
SNORD14C	NR_001453.2
SNORD14B	NR_001452.1
NIT2	NM_020202.4
NIT1	NM_005600.2
MIR4779	NR_039939.1
MIR4778	NR_039938.1
HCFC1R1	NM_001002018.2
MIR4775	NR_039934.1
MIR4774	NR_039933.1
MIR4777	NR_039937.1
MIR4770	NR_039927.1
MIR4772	NR_039930.1
CEND1	NM_016564.3
ZNF667-AS1	NR_036521.1
LOC101928069	NR_120586.1
LOC101928068	NR_111907.1
KANSL1L	NM_152519.3
LOC101928063	NR_110727.1
CYHR1	NM_138496.1
TCEANC2	NM_153035.2
HLA-F-AS1	NR_026972.1
HLA-F-AS1	NR_026972.1.3
HLA-F-AS1	NR_026972.1.2
HLA-F-AS1	NR_026972.1.6
HLA-F-AS1	NR_026972.1.5
HLA-F-AS1	NR_026972.1.4
CR1L	NM_175710.1
NUP153	NM_001278209.1
OR2F1	NM_012369.2
OR2F2	NM_001004685.1
SORCS1	NM_001013031.2
SORCS2	NM_020777.2
SORCS3	NM_014978.2
CARS2	NM_024537.3
GPKOW	NM_015698.5
MIR3200	NR_036171.1
MIR3201	NR_036172.1
NANOG	NM_024865.3
RRH	NM_006583.2
MAPK3	NM_002746.2
MAPK1	NM_002745.4
MAPK6	NM_002748.3
BCO1	NM_017429.2
BCO2	NM_031938.5
MAPK8	NM_001278547.1
ERICH6-AS1	NR_121674.1
LOC101929337	NR_125402.1
CUZD1	NM_022034.5
LYL1	NM_005583.4
BCOR	NM_001123385.1
VWA3B	NM_144992.4
THNSL2	NM_018271.4
THNSL1	NM_024838.4
OR2M1P	NR_002141.1
CCL11	NM_002986.2
ZMYM6NB	NM_001195156.1
CCL13	NM_005408.2
CCL14	NM_032962.4.2
CCL14	NM_032962.4
CCL15	NM_032965.5
CCL15	NM_032965.5.2
CCL16	NM_004590.3.2
CCL16	NM_004590.3
CCL17	NM_002987.2
CCL18	NM_002988.3
CCL18	NM_002988.3.2
CCL18	NM_002988.3.3
MIR320E	NR_036157.1
MIR320A	NR_029714.1
STAT5B	NM_012448.3
STAT5A	NM_001288718.1
SPATA17-AS1	NR_125784.1
FAM212B-AS1	NR_038951.1
LOC101926966	NR_110201.1
PLEKHN1	NM_032129.2
CREB3L2	NM_194071.3
SERPINA2	NM_006220.2.2
SERPINA2	NM_006220.2
SERPINA3	NM_001085.4
SERPINA4	NM_001289032.1
SERPINA5	NM_000624.5
SERPINA6	NM_001756.3.2
SERPINA6	NM_001756.3
EXOC6B	NM_015189.1
SERPINA9	NM_175739.3
ZC3HC1	NM_016478.4
SNORA3B	NR_002977.1
SNORA3A	NR_002580.1
CREB3L1	NM_052854.3
SNORA33	NR_002436.1
SNORA32	NR_003032.1
SNORA31	NR_002967.1
SNORA30	NR_002966.1
SNORA37	NR_002970.1
SNORA35	NR_002993.1
SNORA38	NR_002971.1.7
SNORA38	NR_002971.1.6
SNORA38	NR_002971.1.5
SNORA38	NR_002971.1.4
SNORA38	NR_002971.1.3
SNORA38	NR_002971.1.2
SNORA38	NR_002971.1
PPIAL4A	NM_001143883.2
TCERG1L-AS1	NR_120623.1
LOC100129055	NR_024524.1
KCNMA1-AS2	NR_120654.1
KCNMA1-AS3	NR_126365.1
KCNMA1-AS1	NR_120655.1
GAGE10	NM_001098413.3
GAGE13	NM_001098412.2
SYNPO	NM_001166208.1
CTC1	NM_025099.5
GPC5-AS2	NR_120382.1
ANP32D	NM_012404.2
ANP32E	NM_030920.4
ANP32B	NM_006401.2
ANP32C	NM_012403.1
ANP32A	NM_006305.3
SPATA45	NM_001024601.2
HPSE2	NM_021828.4
SPATA41	NR_028139.1
SPATA42	NR_034168.1
TAT	NM_000353.2
FAM72C	NM_001287385.1
PRR23A	NM_001134659.1
ALMS1	NM_015120.4
TAZ	NM_001303465.1
PRR23B	NM_001013650.2
ATRNL1	NM_207303.4
PRIM1	NM_000946.2
FAM72A	NM_001123168.1
MIR30C1	NR_029833.1
PRIM2	NM_000947.4
LOC102724927	NR_120311.1
ALOXE3	NM_001165960.1
MUC19	NM_173600.2
MUC17	NM_001040105.1
MUC16	NM_024690.2
MUC15	NM_001135091.1
MUC13	NM_033049.3
MUC12	NM_001164462.1
PPP1R9B	NM_032595.4
OR52K1	NM_001005171.2
SYNE3	NM_152592.3
MBTD1	NM_017643.2
SYAP1	NM_032796.3
CBLL1	NM_024814.3
GPR119	NM_178471.2
CTCF	NM_006565.3
OR2L3	NM_001004687.1
RASGRP2	NM_001098670.1
RASGRP3	NM_001139488.1
MIR548F5	NR_031646.1
MIR548F4	NR_031645.1
MIR548F3	NR_031644.1
MIR548F3	NR_031644.1.2
MIR548F2	NR_031643.1
RASGRP4	NM_170604.2
AGXT	NM_000030.2
LRRN2	NM_006338.2
COX7B2	NM_130902.2
HSCB	NM_172002.3
FLJ37505	NR_033987.1
MIR514B	NR_036173.1
ST3GAL6-AS1	NR_046683.1
IFITM5	NM_001025295.2
HCK	NM_002110.3
MIR128-1	NR_029672.1
C7orf25	NM_001099858.1
C7orf26	NM_024067.3
ZNF426	NM_024106.1
ZNF425	NM_001001661.2
ZNF423	NM_015069.3
ZNF420	NM_144689.3
ZNF428	NM_182498.3
ZNF429	NM_001001415.2
CCDC189	NM_001014979.2
LINC01519	NR_120667.1
MIR4739	NR_039893.1
CCDC181	NM_001300969.1
LINC01511	NR_125810.1
LINC01511	NR_125810.1.2
LINC01512	NR_024478.1
CCDC182	NM_001282544.1
LINC01514	NR_120620.1
LINC01515	NR_120647.1
LINC01516	NR_120649.1
LINC01517	NR_120652.1
NEDD8	NM_006156.2
NEDD9	NM_001142393.1
P2RY14	NM_001081455.1
NEDD1	NM_001135175.1
NEDD4	NM_001284338.1
P2RY11	NM_002566.4
P2RY12	NM_022788.4
P2RY13	NM_176894.2
GARNL3	NM_032293.4
GPRIN3	NM_198281.2
SFR1	NM_001002759.1
SHISA4	NM_198149.2
LOC101593348	NR_103497.1
LOC100507443	NR_038437.1
SHISA5	NM_016479.4
MIR3156-2	NR_036153.1
LOC106780825	NR_133678.1
LOC106780825	NR_133678.1.2
LMOD1	NM_012134.2
LMOD3	NM_001304418.1
LMOD2	NM_207163.1
OR5W2	NM_001001960.1
FAM13A-AS1	NR_002806.2
MIR648	NR_030378.1
MIR649	NR_030379.1
MIR645	NR_030375.1
MIR646	NR_030376.1
MIR647	NR_030377.1
MIR640	NR_030370.1
MIR641	NR_030371.1
MIR643	NR_030373.1
LINC00390	NR_132368.1
LINC00392	NR_047009.1
LINC00395	NR_047011.1
LINC00397	NR_104059.1
LINC00396	NR_126387.1
LINC00399	NR_126361.1
LINC00398	NR_047012.1
SLX1A-SULT1A3	NR_037608.1
SLX1A-SULT1A3	NR_037608.1.2
LOC101927143	NR_110669.1
LOC101927142	NR_110213.1
AGXT2	NM_031900.3
THEG5	NM_001205273.2
DAB2	NM_001343.3
DAB1	NM_021080.3
RBMY1D	NM_001006120.2.4
RBMY1D	NM_001006120.2.3
RBMY1D	NM_001006120.2.2
RBMY1D	NM_001006120.2
C1RL-AS1	NR_026947.1
FAM25BP	NR_104039.1
MIR7154	NR_106976.1
MIR7155	NR_106977.1
MIR7156	NR_106978.1
MIR7157	NR_106979.1
MIR7150	NR_106972.1
MIR7151	NR_106973.1
MIR7152	NR_106974.1
MIR7153	NR_106975.1
MIR7158	NR_106980.1
MIR7159	NR_106982.1
MIR4732	NR_039885.1
RAB29	NM_001135662.1
THEGL	NM_001256475.1
WNT7A	NM_004625.3
WNT7B	NM_058238.2
FAHD2CP	NR_003698.1
OSCAR	NM_206818.2.4
OSCAR	NM_206818.2.3
OSCAR	NM_206818.2.6
OSCAR	NM_206818.2.2
OSCAR	NM_206818.2
OSCAR	NM_206818.2.8
OSCAR	NM_206818.2.7
OSCAR	NM_206818.2.10
OSCAR	NM_206818.2.9
OSCAR	NM_206818.2.5
CSRNP1	NM_033027.3
CSRNP2	NM_030809.2
CSRNP3	NM_001172173.1
COX6C	NM_004374.3
LINC00284	NR_026955.1
BUB1	NM_004336.4
BUB3	NM_004725.3
NUPR2	NM_001145712.1
NUPR1	NM_001042483.1
ADSSL1	NM_199165.1
LOC101928269	NR_110418.1
OGT	NM_181672.2
LOC101928266	NR_110828.1
TMEM133	NM_032021.2
TMEM130	NM_001134450.1
TMEM131	NM_015348.1
TMEM136	NM_001198670.1
TMEM134	NM_025124.3
TMEM135	NM_022918.3
TMEM138	NM_016464.4
TMEM139	NM_001242773.2
FOXE1	NM_004473.3
FOXE3	NM_012186.2
CT45A10	NM_001291527.1
MGC34796	NR_073400.1
DSG1-AS1	NR_110788.1
SLC35C2	NM_001281458.1
SLC35C1	NM_018389.4
XK	NM_021083.2
GNRHR2	NR_002328.4
XG	NM_001141919.1
C11orf88	NM_207430.2
C11orf84	NM_138471.2
C11orf85	NM_001037225.2
LOC101928885	NR_130778.1
C11orf87	NM_207645.3
C11orf80	NM_024650.3
LOC101928882	NR_109986.1
LOC101928880	NR_110944.1
MUCL1	NM_058173.2
CRHR2	NM_001202475.1
CRHR1	NM_001145146.1.3
CRHR1	NM_001145146.1.2
CRHR1	NM_001145146.1
C1D	NM_001190263.1
SCGB1D1	NM_006552.1
SCGB1D2	NM_006551.3
SCGB1D4	NM_206998.1
CDYL	NM_004824.3
HCLS1	NM_005335.5
LOC105755953	NR_131944.1
TCP10L	NM_144659.5
TBC1D3P2	NR_027486.1
KRI1	NM_023008.3
TECPR1	NM_015395.2
TECPR2	NM_014844.4
CDY1	NM_004680.2.2
CDY1	NM_004680.2
C1S	NM_001734.3
C1R	NM_001733.4
PAUPAR	NR_117094.1
FCHO2	NM_138782.2
FCHO1	NM_001161357.1
URAD	NM_001105577.1
ZASP	NM_001289933.1
HCG4	NR_002139.2.2
HCG4	NR_002139.2.3
HCG4	NR_002139.2
HCG4	NR_002139.2.6
HCG4	NR_002139.2.7
HCG4	NR_002139.2.4
HCG4	NR_002139.2.5
HCG4	NR_002139.2.8
HCG8	NR_103542.1
HCG8	NR_103542.1.6
HCG8	NR_103542.1.7
HCG8	NR_103542.1.4
HCG8	NR_103542.1.5
HCG8	NR_103542.1.2
HCG8	NR_103542.1.3
HCG8	NR_103542.1.8
HCG9	NR_028032.1.3
HCG9	NR_028032.1.2
HCG9	NR_028032.1.7
HCG9	NR_028032.1.6
HCG9	NR_028032.1.5
HCG9	NR_028032.1.4
HCG9	NR_028032.1
AUP1	NM_181575.4
LOC101927421	NR_109882.1.2
LOC101927421	NR_109882.1
FOXN3-AS2	NR_024620.1
LOC100131315	NR_109767.1.2
LOC100131315	NR_109767.1
LOC101928682	NR_104667.1
PNPO	NM_018129.3
APBB1IP	NM_019043.3
SKI	NM_003036.3
C16orf89	NM_152459.4
WI2-2373I1.2	NM_001195127.1
LIMCH1	NM_014988.3
C16orf82	NM_001145545.1
CLDND1	NM_001040182.1
C16orf87	NM_001001436.2
CLDND2	NM_152353.2
ZFAS1	NR_003604.2
GEM	NM_005261.3
RIC8B	NM_018157.2
RIC8A	NM_021932.5
ISY1	NM_001199469.1
GAGE8	NM_012196.1
BAHCC1	NM_001291324.1
PCDHGA8	NM_032088.1
LOC283788	NR_027436.2
PCDHGA2	NM_018915.3
PCDHGA3	NM_018916.3
PCDHGA1	NM_018912.2
PCDHGA6	NM_018919.2
PCDHGA7	NM_018920.3
PCDHGA4	NM_018917.3
PCDHGA5	NM_018918.2
MIR1-2	NR_029662.1
LOC389602	NM_001291913.1
MIR6787	NR_106845.1
PHF8	NM_001184896.1
WWC2	NM_024949.5
PHF6	NM_001015877.1
PHF7	NM_016483.5
PHF2	NM_005392.3
RABAC1	NM_006423.2
PHF1	NM_024165.2.2
PHF1	NM_024165.2
C2CD4A	NM_207322.2
C2CD4B	NM_001007595.2
C2CD4C	NM_001136263.1
C2CD4D	NM_001136003.1
INPP4B	NM_001101669.1
INPP4A	NM_001134224.1
RPL29P2	NR_002778.1
VARS2	NM_001167734.1.5
VARS2	NM_001167734.1
VARS2	NM_001167734.1.3
VARS2	NM_001167734.1.2
VARS2	NM_001167734.1.4
VARS2	NM_001167734.1.6
RPS26	NM_001029.3
RPS27	NM_001030.4
RPS24	NM_001142285.1
RPS25	NM_001028.2
RPS23	NM_001025.4
RPS20	NM_001146227.1
RPS21	NM_001024.3
RPS28	NM_001031.4
RPS29	NM_001030001.2
OR1E2	NM_003554.2
OR1E1	NM_003553.2
ATRX	NM_000489.4
CHMP1A	NM_001083314.3
ARHGEF9-IT1	NR_046803.1
PREB	NM_013388.4
GOLGA6L5P	NR_003246.4
PREP	NM_002726.4
RPL31P11	NR_002595.1
ITPK1-AS1	NR_002808.2
ITPK1-AS1	NR_002808.2.2
EBAG9	NM_001278938.1
LOC100129636	NR_125387.1.2
LOC100129636	NR_125387.1.3
LOC100129636	NR_125387.1.4
LOC100129636	NR_125387.1.5
LOC100129636	NR_125387.1.6
LOC100129636	NR_125387.1.7
LOC100129636	NR_125387.1
MIEN1	NM_032339.3
GDNF-AS1	NM_001278094.1
LOC101928748	NR_110950.1
NBAS	NM_015909.3
LBX1-AS1	NR_029380.1
NIF3L1	NM_001136039.2
MIR6862-1	NR_106922.1
MIR6862-1	NR_106922.1.2
MIR6862-2	NR_107058.1
MIR6862-2	NR_107058.1.2
TMBIM4	NM_001282606.1
MIR3910-1	NR_037472.1
TMBIM1	NM_022152.4
MIR3910-2	NR_037489.1
DRD4	NM_000797.3.2
DRD4	NM_000797.3
DRD5	NM_000798.4
DRD2	NM_000795.3
DRD3	NM_000796.5
DRD1	NM_000794.3
SLC25A3P1	NR_002314.3
GLG1	NM_012201.5
TTC9C	NM_173810.3
TTC9B	NM_152479.5
LINC00152	NR_024204.1
NOSIP	NM_001270960.1
ST7-AS1	NR_002330.1
ST7-AS2	NR_002331.3
ST7-AS2	NR_109980.1
LINC00159	NR_038033.1
LINC00158	NR_024027.2
ENTPD7	NM_020354.3
ENTPD6	NM_001247.2
ENTPD5	NM_001249.2
ENTPD4	NM_004901.4
ENTPD3	NM_001248.3
ENTPD2	NM_203468.2
ENTPD1	NM_001164178.1
ENTPD8	NM_001033113.1
DLEC1	NM_007337.2
SNAPC2	NM_003083.3
SNAPC1	NM_003082.3
SNAPC5	NM_006049.2
SNAPC4	NM_003086.2
RSPH10B	NM_173565.3
RSPH10B	NM_173565.3.2
TNFRSF10A	NM_003844.3
MIR3074	NR_036109.1
HAGLROS	NR_110457.1
HESX1	NM_003865.2
ZFP14	NM_001297619.1
LUADT1	NR_132442.1
CAGE1	NM_001170692.1
PROCR	NM_006404.4
ODF3	NM_053280.4
ODF2	NM_153435.1
ODF1	NM_024410.3
GSG1L2	NM_001310219.1
ODF4	NM_153007.4
LINC00845	NR_108052.1
LINC00844	NR_108046.1
LINC00847	NR_027183.2
LINC00841	NR_033846.1
LINC00840	NR_038268.1
LINC00842	NR_033957.2
ATP2B2-IT2	NR_046766.1
KIF3B	NM_004798.3
KIF3C	NM_002254.6
KIF3A	NM_001300791.1
TMEFF1	NM_003692.4
TMEFF2	NM_016192.3
SDC4P	NR_001580.1
STAMBP	NM_006463.4
MUTYH	NM_001128425.1
AATBC	NR_026961.1
LOC401312	NR_122075.1
SUCNR1	NM_033050.4
FAM209B	NM_001013646.3
TBXA2R	NM_201636.2
SEL1L	NM_005065.5
FAM209A	NM_001012971.3
CGB8	NM_033183.2
CGB5	NM_033043.1
CGB7	NM_033142.1
PDSS2	NM_020381.3
CGB2	NM_033378.1
SNORD98	NR_003076.1
SNORD99	NR_003077.1
SNORD94	NR_004378.1
SNORD95	NR_002591.1
MIR1323	NR_031568.1
MIR1322	NR_031711.1
SNORD90	NR_003071.1
KIAA2012	NM_001277372.1
SNORD92	NR_003074.1
SNORD93	NR_003075.1
CNTLN	NM_017738.3
MIR3199-1	NR_036169.1
MIR3199-2	NR_036170.1
PPP1R27	NM_001007533.3
EMP2	NM_001424.5
EMP3	NM_001313905.1
EMP1	NM_001423.2
TMSB4X	NM_021109.3
TMSB4Y	NM_004202.2
CCDC22	NM_014008.4
CCDC25	NM_018246.2
CCDC24	NM_152499.2
CCDC27	NM_152492.2
CCDC26	NR_130917.1
VHL	NM_000551.3
FIBIN	NM_203371.1
CDKN3	NM_005192.3
ZEB2-AS1	NR_040248.2
UBE2G2	NM_003343.5
UBE2G1	NM_003342.4
KCTD20	NM_173562.4
KCTD21	NM_001029859.2
LOC100506688	NR_104614.1
LOC100506688	NR_104614.1.2
DCAF5	NM_003861.2
NEDD8-MDP1	NM_001199823.1
LOC100506682	NR_110024.1
CYP20A1	NM_177538.2
DDX26B-AS1	NR_046740.1
RANBP3L	NM_001161429.1
HEPHL1	NM_001098672.1
LRRC3-AS1	NR_047476.1
LOC729603	NR_003288.2
LOC729609	NR_024440.1
FAM101B	NM_182705.2
FAM101A	NM_181709.4
SGPL1	NM_003901.3
LOC100505887	NR_104620.1
APBB1	NM_001164.4
APBB2	NM_004307.1
APBB3	NM_006051.3
LINC01495	NR_120583.1
LINC01494	NR_110238.1
LINC01497	NR_110874.1
LINC01496	NR_110654.1
LINC01491	NR_120336.1
LINC01490	NR_120468.1
LINC01493	NR_120553.1
LINC01492	NR_121578.1
LINC01499	NR_120584.1
LINC01498	NR_120483.1
UNKL	NM_001193388.3
WDR6	NM_018031.3
WDR5	NM_017588.2
WDR4	NM_018669.5
WDR3	NM_006784.2
DIAPH1	NM_005219.4
DIAPH2	NM_006729.4
DIAPH3	NM_001042517.1
SMR3B	NM_006685.3
SMR3A	NM_012390.3
MFI2	NM_005929.5
COX6A1	NM_004373.3
COX6A2	NM_005205.3
POU2AF1	NM_006235.2
UOX	NR_003927.2
NDNF	NM_024574.3
MAGEE2	NM_138703.4
MAGEE1	NM_020932.2
XIST	NR_001564.2
IRG1	NM_001258406.1
CD27-AS1	NR_015382.2
LOC100505915	NR_125434.1
LOC100505915	NR_125434.1.2
SNX31	NM_152628.3
SNX30	NM_001012994.1
SNX33	NM_153271.1
SNX32	NM_152760.2
IRGQ	NM_001007561.2
CHRAC1	NM_017444.5
IRGC	NM_019612.3
IRGM	NM_001145805.1
APELA	NM_001297550.1
LINC00458	NR_108062.1
LINC00452	NM_001278674.1
C1orf145	NR_073154.1
C1orf146	NM_001012425.1
C1orf140	NR_024236.1
C1orf141	NM_001276351.1
GABRR1	NM_002042.4
GABRR2	NM_002043.3
GABRR3	NM_001105580.2
TRIM59	NM_173084.2
TRIM58	NM_015431.3
TRIM55	NM_184085.1
TRIM54	NM_032546.3
TRIM56	NM_030961.2
RNASET2	NM_003730.4
TRIM50	NM_001281451.1
TRIM52	NM_032765.2
CCNDBP1	NM_012142.4
MRPL45P2	NR_033934.1
NUS1	NM_138459.3
ZNF212	NM_012256.3
NREP	NM_001142475.1
GSTZ1	NM_145870.2
ATP6V1E2	NM_080653.3
KRTCAP2	NM_173852.3
KRTCAP3	NM_001168364.1
SOX9-AS1	NR_103738.1
RPL23	NM_000978.3
CYS1	NM_001037160.2
MAB21L1	NM_005584.4
MAB21L2	NM_006439.4
MAB21L3	NM_152367.2
HSD17B8	NM_014234.4
HSD17B8	NM_014234.4.2
HSD17B8	NM_014234.4.3
HSD17B8	NM_014234.4.4
HSD17B8	NM_014234.4.5
HSD17B8	NM_014234.4.6
LOC101059948	NR_073552.1
PRMT3	NM_005788.3
HSD17B1	NM_000413.2
HSD17B2	NM_002153.2
HSD17B3	NM_000197.1
HSD17B4	NM_001199291.2
HSD17B6	NM_003725.3
HSD17B7	NM_016371.3
ALDH3B2	NM_000695.3
ALDH3B1	NM_000694.3
LOC101929584	NR_120476.2
LOC101929586	NR_120363.1
PARD3	NM_019619.3
PSKH2	NM_033126.1
PSKH1	NM_006742.2
IL1RL1	NM_016232.4
IL1RL2	NM_003854.2
PEBP1	NM_002567.3
PEBP4	NM_144962.2
LACAT8	NR_131950.1
CEP192	NM_032142.3
UTP14A	NM_006649.3
TNFRSF21	NM_014452.4
UTP14C	NM_021645.5
TNFRSF25	NM_148965.1
PROSER1	NM_025138.4
PROSER2	NM_153256.3
PROSER3	NM_001039887.2
HTATIP2	NM_001098520.1
SLX4IP	NM_001009608.1
MAMLD1	NM_001177465.2
CNOT4	NM_001190850.1
HUS1B	NM_148959.3
SLC29A4	NM_001040661.1
SLC29A3	NM_018344.5
SLC29A2	NM_001300868.1
SLC29A1	NM_001304462.1
RSC1A1	NM_006511.1
FRG1DP	NR_132316.1
LOC645752	NR_027024.1
C6orf201	NM_001085401.2
CFAP157	NM_001012502.2
C6orf203	NM_001142470.2
MRAS	NM_001085049.2
MRAP	NM_178817.3
SARM1	NM_015077.3
LOC104968399	NR_130143.1
RFC5	NM_007370.5
HTN3	NM_000200.2
HTN1	NM_002159.3
RFC1	NM_001204747.1
RFC3	NM_002915.3
ZFHX2	NM_033400.2
CBX8	NM_020649.2
CBX7	NM_175709.3
CBX6	NM_014292.4
CBX5	NM_001127321.1
CBX4	NM_003655.2
CBX3	NM_007276.4
CBX2	NM_005189.2
CBX1	NM_001127228.1
PRR9	NM_001195571.1
CLASRP	NM_007056.2
CKS2	NM_001827.2
ARHGAP19	NM_032900.5
ACADSB	NM_001609.3
SHOC2	NM_007373.3
HKR1	NM_181786.2
GNAS	NM_080425.3
ERCC8	NM_000082.3
OR10Z1	NM_001004478.1
ERCC1	NM_202001.2
ERCC2	NM_000400.3
ERCC3	NM_000122.1
ERCC4	NM_005236.2
ERCC5	NM_000123.3
ERCC6	NM_000124.3
MRPS17	NM_015969.2
MRPS16	NM_016065.3
MRPS15	NM_031280.3
CD247	NM_198053.2
MRPS12	NM_021107.1
MRPS11	NM_022839.3
MRPS10	NM_018141.3
LOC100287728	NR_103770.1
CD248	NM_020404.2
KIAA0922	NM_001131007.1
LOC100131107	NM_001310142.1
PFKP	NM_002627.4
PFKM	NM_001166686.1
PFKL	NM_001002021.2
PRIMPOL	NM_152683.3
CARD19	NM_032310.3
SNURF	NM_005678.3
WARS	NM_004184.3
THOP1	NM_003249.4
CLEC4M	NM_014257.4
CLEC4G	NM_198492.3
CLEC4F	NM_173535.2
CLEC4E	NM_014358.3
CLEC4D	NM_080387.4
CLEC4C	NM_130441.2
CLEC4A	NM_016184.3
SSR1	NM_003144.4
SSR2	NM_003145.3
SSR3	NM_001308197.1
SSR4	NM_001204526.1
CTTNBP2NL	NM_018704.2
CASP8AP2	NM_001137667.1
ORAOV1	NM_153451.2
APOC4	NM_001646.2
APOC2	NM_000483.4
APOC3	NM_000040.1
APOC1	NM_001645.3
MIR551B	NR_030294.1
MIR551A	NR_030277.1
USB1	NM_024598.3
POU6F2	NM_007252.3
GNPDA2	NM_138335.2
POU6F1	NM_002702.3
KLHDC10	NM_014997.3
GNPDA1	NM_005471.4
HIF1A-AS1	NR_047116.1
HIF1A-AS2	NR_045406.1
FASTK	NM_006712.4
MIR3918	NR_037482.1
MIR3919	NR_037483.1
MIR3915	NR_037478.1
MIR3916	NR_037480.1
MIR3917	NR_037481.1
MIR3911	NR_037473.1
MIR3912	NR_037474.1
PAGE4	NM_007003.3
PAGE5	NM_130467.4
PAGE2	NM_207339.3
PAGE3	NM_001017931.2
SPDYE2B	NM_001166339.1.2
SPDYE2B	NM_001166339.1
PAGE1	NM_003785.3
RASAL2	NM_170692.2
LINC01128	NR_047519.1
LINC01125	NR_038386.1
LINC01124	NR_027433.1
LINC01127	NR_103791.1
LINC01126	NR_027251.1
LINC01121	NR_033831.1
LINC01120	NR_036499.1
LINC01123	NR_046110.1.2
LINC01123	NR_046110.1
LINC01122	NR_033873.1
PGK2	NM_138733.4
PGK1	NM_000291.3
BECN1	NM_001313998.1
BECN2	NM_001290693.1
RPP25L	NM_148178.2
BSN-AS2	NR_038866.1
DKFZp434J0226	NR_027003.1
MIR4641	NR_039784.2
MIR4640	NR_039783.1
MIR4640	NR_039783.1.5
MIR4640	NR_039783.1.4
MIR4640	NR_039783.1.6
MIR4640	NR_039783.1.3
MIR4640	NR_039783.1.2
MIR4643	NR_039786.1
MIR4642	NR_039785.1
MIR4645	NR_039788.1
MIR4644	NR_039787.1.2
MIR4644	NR_039787.1
MIR4647	NR_039790.1
MIR4646	NR_039789.1
MIR4646	NR_039789.1.3
MIR4646	NR_039789.1.2
MIR4646	NR_039789.1.7
MIR4646	NR_039789.1.6
MIR4646	NR_039789.1.5
MIR4646	NR_039789.1.4
MIR4649	NR_039792.2
MIR4648	NR_039791.2
LOC285000	NR_038891.1
FAAP100	NM_025161.5
OXA1L	NM_005015.3
SCRN3	NM_024583.4
C6orf52	NM_001145020.1
DOCK10	NM_014689.2
DOCK11	NM_144658.3
C6orf58	NM_001010905.2
LPAL2	NR_028092.1
