OR5J7P	ENST00000534621
IFT20	ENST00000585089
IFT20	ENST00000577872
PKP4P1	ENST00000426801
C1orf189	ENST00000368525
REST	ENST00000309042
AC092646.1	ENST00000431242
TRIM6	ENST00000380097
AP001596.6	ENST00000421771
RNU6-635P	ENST00000516651
IGHV5-78	ENST00000605119
IGHV5-78	ENST00000450948
AC000067.1	ENST00000452326
FAM69C	ENST00000343998
EPHA10	ENST00000427468
NAALADL2	ENST00000454872
DKKL1	ENST00000221498
INHBA-AS1	ENST00000415848
MYH7B	ENST00000262873
MT-CYB	ENST00000361789
TNNT2	ENST00000458432
GBA3	ENST00000508166
RP11-550C4.6	ENST00000446733
UBP1	ENST00000283628
C19orf60	ENST00000358607
NYAP2	ENST00000272907
MRPL27	ENST00000225969
ARL5AP1	ENST00000418991
KDM5D	ENST00000541639
RNU6-315P	ENST00000362666
FHOD3	ENST00000590592
ZNF197	ENST00000344387
RPS26P2	ENST00000440331
CACNA2D4	ENST00000586184
AC009227.2	ENST00000434635
AC000041.8	ENST00000439655
TRPT1	ENST00000394546
RPS2P44	ENST00000478038
RP3-512E2.2	ENST00000445838
RNU6-677P	ENST00000516914
RP11-400F19.8	ENST00000585572
RP11-399K21.5	ENST00000447646
HHATL-AS1	ENST00000600839
TPTE2P5	ENST00000432905
RPL21P6	ENST00000479171
RP11-408E5.5	ENST00000437057
CTD-2619J13.8	ENST00000599109
CD96	ENST00000283285
LRRIQ1	ENST00000393217
DDX11-AS1	ENST00000500527
SSX2IP	ENST00000342203
PGPEP1L	ENST00000378919
PGPEP1L	ENST00000598847
BCL11A	ENST00000335712
TENM4	ENST00000278550
GS1-39E22.1	ENST00000523722
BAG1	ENST00000472232
GS1-410F4.5	ENST00000355509
RP11-804A23.2	ENST00000539897
RP11-6F6.1	ENST00000445897
RP11-344N10.5	ENST00000608005
KIF18B	ENST00000339151
RPL7AP26	ENST00000488538
AC012668.3	ENST00000457625
NSRP1P1	ENST00000444067
CA3	ENST00000285381
RP11-263C24.3	ENST00000530091
CTA-714B7.4	ENST00000414048
GM2AP2	ENST00000491764
IFNA14	ENST00000380222
SETSIP	ENST00000485873
ACOT2	ENST00000238651
RNU1-148P	ENST00000384472
SLC2A2	ENST00000314251
CTB-35F21.5	ENST00000607370
AP000647.3	ENST00000535634
MIR3617	ENST00000577518
RNU4-7P	ENST00000364758
PDE4D	ENST00000340635
RALA	ENST00000005257
RNA5SP372	ENST00000390836
KRT8P36	ENST00000489121
SNORD115-25	ENST00000362619
RP11-502M1.2	ENST00000512652
RNU12-2P	ENST00000604783
RNU12-2P	ENST00000364789
EFCAB12	ENST00000326085
CT45A2	ENST00000370736
CTD-2647L4.4	ENST00000560865
VPS37D	ENST00000324941
VPS37D	ENST00000576116
TMEM63B	ENST00000259746
RP11-696F10.1	ENST00000498515
RP4-734P14.4	ENST00000461548
RP11-17M16.2	ENST00000581996
RP11-116N8.4	ENST00000546376
ASTN2	ENST00000313400
ZNF227	ENST00000313040
RP11-397O4.1	ENST00000428853
GNG5P5	ENST00000420444
SNORD116-19	ENST00000384729
RP11-159N11.4	ENST00000602900
AP000439.3	ENST00000542064
RPL30P2	ENST00000414021
RP11-474O21.2	ENST00000436879
AC019048.1	ENST00000428379
CBWD7	ENST00000377391
BCAM	ENST00000270233
RP11-671M22.4	ENST00000560672
RP11-889D3.2	ENST00000496829
LIX1L	ENST00000369308
RNU7-96P	ENST00000459535
RP11-76E17.2	ENST00000553477
RP11-350N15.3	ENST00000533301
RP11-475D12.2	ENST00000435367
KDM1B	ENST00000388870
CHP1	ENST00000334660
RP11-453E17.3	ENST00000603040
RP11-1072N2.3	ENST00000510049
DESI1	ENST00000263256
MT-TY	ENST00000387409
TRAJ22	ENST00000390515
RNU6-953P	ENST00000459154
CTD-2349P21.5	ENST00000581019
LRRC46	ENST00000269025
RP11-748H22.1	ENST00000527374
CTD-2161F6.1	ENST00000515656
RNA5SP370	ENST00000362545
LINC00596	ENST00000559615
RNU7-125P	ENST00000458760
CTD-3193O13.14	ENST00000595107
RP11-307O13.1	ENST00000568811
AC009502.4	ENST00000607654
RP11-327F22.4	ENST00000564510
DPH2	ENST00000255108
RP11-255E6.5	ENST00000605304
LA16c-444G7.1	ENST00000563190
RP11-284A20.1	ENST00000509456
RP11-159F24.3	ENST00000505645
RP11-62F24.2	ENST00000450445
POM121L8P	ENST00000417732
RP1-206D15.5	ENST00000452472
EIF4A1P3	ENST00000411521
ATP13A1	ENST00000357324
RP11-3J11.1	ENST00000451069
BANF1P1	ENST00000553684
RP11-16N2.1	ENST00000506379
TAS2R7	ENST00000574656
TAS2R7	ENST00000571546
TAS2R7	ENST00000240687
RP11-138I1.2	ENST00000580996
CTC-465D4.1	ENST00000543778
WASF1	ENST00000359451
RP11-517O13.3	ENST00000556390
UBE3AP2	ENST00000429033
LINC00926	ENST00000501726
PSMA3P	ENST00000555485
RP11-17E13.2	ENST00000608748
NCBP2-AS1	ENST00000447775
RP11-158M2.2	ENST00000561417
TVP23CP2	ENST00000571473
HIPK2	ENST00000406875
RP11-783K16.13	ENST00000545800
RP11-352G9.1	ENST00000607976
RNA5SP263	ENST00000363376
NDUFB9	ENST00000522532
TMEM134	ENST00000308022
F7	ENST00000375581
RP11-343J3.2	ENST00000428753
RP4-562D20.2	ENST00000528537
IGHV7-40	ENST00000520963
IGHV7-40	ENST00000605684
RABL3	ENST00000273375
AC087491.2	ENST00000398554
TDRD1	ENST00000251864
MIR518B	ENST00000385127
CNTN4	ENST00000397461
MIR552	ENST00000385206
RP11-12L8.2	ENST00000604645
KAT8	ENST00000448516
SAPCD2	ENST00000409687
AP000320.7	ENST00000362077
SPANXN5	ENST00000375511
SPANXN5	ENST00000595963
RP11-243M5.1	ENST00000537998
CYTIP	ENST00000264192
RP11-553L6.3	ENST00000473625
RP11-382A20.2	ENST00000565513
RNU6-952P	ENST00000391164
RP11-157E16.1	ENST00000604028
CTD-2206N4.1	ENST00000584401
RNU6-1262P	ENST00000516217
RP11-67L3.2	ENST00000450503
TMEM78	ENST00000323223
NUPR1	ENST00000395641
C8orf17	ENST00000507535
RP11-274B18.4	ENST00000413269
PDP1	ENST00000396200
C5orf60	ENST00000448248
RNU2-42P	ENST00000410697
MIR4769	ENST00000584126
GYPA	ENST00000360771
AC002075.3	ENST00000457396
TRAJ55	ENST00000509135
ZNF850	ENST00000591344
RNU7-3P	ENST00000516435
RP11-83M16.5	ENST00000507298
DGKG	ENST00000265022
RP11-757A13.1	ENST00000608397
PGM1	ENST00000371083
RBM12	ENST00000359646
CCNB3	ENST00000596541
CCNB3	ENST00000276014
CCNB3	ENST00000594292
PRSS3	ENST00000361005
ZNF583	ENST00000291598
RNA5SP293	ENST00000410527
SMAP2	ENST00000372718
AP000438.4	ENST00000538772
NONO	ENST00000276079
RIC3	ENST00000309737
RP11-85L21.5	ENST00000599034
RP11-85L21.5	ENST00000454984
PPIAP17	ENST00000438507
REPS2	ENST00000357277
SNAPIN	ENST00000368685
OR5M6P	ENST00000530227
RP11-81B10.2	ENST00000392696
RNU1-34P	ENST00000364421
RP11-1109M24.12	ENST00000583878
COX4I1P1	ENST00000554239
AC129778.2	ENST00000398522
RP11-809N15.3	ENST00000604667
RP11-104H15.7	ENST00000575310
GATA6-AS1	ENST00000583490
CCDC92	ENST00000238156
RP13-539F13.2	ENST00000509609
RP11-514F3.4	ENST00000529910
RP3-497J21.1	ENST00000454907
RP11-145H9.3	ENST00000440848
RP11-295G12.1	ENST00000551387
RPL29P30	ENST00000470368
NELL1	ENST00000298925
CNTLN	ENST00000380647
RP11-770G2.5	ENST00000531155
RP11-803B1.3	ENST00000487255
RP11-355K23B.1	ENST00000399325
MYADM	ENST00000336967
RNA5SP80	ENST00000410475
RP11-455J15.1	ENST00000603589
AF165138.7	ENST00000400562
MIR4734	ENST00000581337
PI4KA	ENST00000255882
IL21R-AS1	ENST00000563191
SH3KBP1	ENST00000397821
RP11-119K6.6	ENST00000432120
HEBP1	ENST00000014930
PHACTR4	ENST00000373836
RP11-432M8.11	ENST00000510454
LRRD1	ENST00000430130
DEF6	ENST00000316637
GNLY	ENST00000526018
SOCS5P1	ENST00000440415
RP11-66H6.3	ENST00000572828
SLC36A2	ENST00000335244
AF228730.5	ENST00000436691
XAGE1B	ENST00000594178
XAGE1B	ENST00000437949
TMCO5B	ENST00000529696
RP11-377G16.2	ENST00000503589
CDC42EP3	ENST00000295324
TXNDC12	ENST00000371626
PGAM1P3	ENST00000420790
FAM110D	ENST00000374268
RP1-29C18.10	ENST00000391625
RN7SL147P	ENST00000582635
RN7SL147P	ENST00000487345
RP11-432I5.4	ENST00000563557
ATP5JP1	ENST00000431631
SNTG1	ENST00000518864
RP11-75C10.7	ENST00000585369
PPT2	ENST00000414356
PPT2	ENST00000383301
PPT2	ENST00000383152
PPT2	ENST00000412651
PPT2	ENST00000427896
PPT2	ENST00000547508
PPT2	ENST00000423347
PPT2	ENST00000361568
RP11-108K3.2	ENST00000559672
RNA5SP169	ENST00000517268
SLC9A7P1	ENST00000554295
CTC-353G13.1	ENST00000523050
MAGI3	ENST00000307546
THBD	ENST00000377103
ENO4	ENST00000341276
RP11-22D3.1	ENST00000565146
RP11-1152H14.1	ENST00000604239
TAS2R4	ENST00000247881
FBXO40	ENST00000338040
RNU6-1225P	ENST00000516336
OR5AL2P	ENST00000532185
ARHGAP11A	ENST00000361627
RP11-402P6.3	ENST00000430476
LGALS8-AS1	ENST00000487567
RN7SKP192	ENST00000411291
MIR125B2	ENST00000385128
RP5-912I13.1	ENST00000569431
CBS	ENST00000398168
GLB1L2	ENST00000339772
EVA1B	ENST00000270824
RP11-691G17.1	ENST00000567488
SNORD115-34	ENST00000362441
RP11-907D1.1	ENST00000557211
TRBV2	ENST00000563469
TRBV2	ENST00000455382
CCDC39	ENST00000442201
RP11-550I15.1	ENST00000520784
GAPDHP36	ENST00000480688
RP11-1042B17.2	ENST00000489560
DLX3	ENST00000434704
NF1P5	ENST00000588287
KLHL20	ENST00000209884
RPS23P4	ENST00000487908
HSH2D	ENST00000253680
ITM2B	ENST00000378565
FBXL22	ENST00000360587
RN7SL743P	ENST00000475032
CTD-2021H9.3	ENST00000549357
SMCR2	ENST00000456090
RN7SKP221	ENST00000410420
INTS9	ENST00000521022
EDRF1	ENST00000356792
AC004019.10	ENST00000455617
RP11-211G3.2	ENST00000450760
CDRT1	ENST00000395906
CDRT1	ENST00000312127
BIN2P2	ENST00000503900
MIR1184-2	ENST00000609547
MIR1184-2	ENST00000593571
MIR1184-2	ENST00000408676
CLHC1	ENST00000401408
SLC25A18P1	ENST00000449385
FASTK	ENST00000297532
RNU6-1076P	ENST00000410397
ZNF621	ENST00000339296
RP11-720N19.2	ENST00000583643
KXD1	ENST00000601630
RNU7-70P	ENST00000516941
MTND4P5	ENST00000435821
ARSJ	ENST00000315366
MIR5689	ENST00000581998
PHOX2B	ENST00000226382
CENPM	ENST00000215980
CLEC19A	ENST00000465414
RP11-102M11.2	ENST00000564748
DHX16	ENST00000451456
DHX16	ENST00000424672
DHX16	ENST00000417308
DHX16	ENST00000383577
DHX16	ENST00000450902
DHX16	ENST00000458094
DHX16	ENST00000376442
DHX16	ENST00000421095
RP11-456O19.5	ENST00000589617
EXOC6B	ENST00000272427
CTA-796E4.3	ENST00000420391
RP11-379K17.5	ENST00000494834
RP11-206L10.8	ENST00000447500
RP11-855O10.3	ENST00000542121
CALM2P2	ENST00000428512
RPL36AP13	ENST00000457490
RP11-416I2.1	ENST00000562897
RP4-668J24.2	ENST00000568244
HMGB3P8	ENST00000449709
CAPS2	ENST00000409445
EYA1	ENST00000340726
AC104306.4	ENST00000451877
GSTM5	ENST00000369812
CTD-2012J19.2	ENST00000509920
TRPM3	ENST00000423814
RAB31	ENST00000578921
OR2AT4	ENST00000305159
AC016745.3	ENST00000422178
LINC01052	ENST00000437777
AP000431.1	ENST00000450653
CDC42P1	ENST00000456658
RP11-136I14.2	ENST00000544663
SUCLA2	ENST00000378654
MYO19	ENST00000431794
MYO19	ENST00000561703
RP11-169E6.3	ENST00000568326
RP11-662M24.1	ENST00000443685
RP11-419N10.5	ENST00000426330
RPS15AP9	ENST00000439856
NFKBID	ENST00000352614
USP9YP28	ENST00000435142
RP6-159A1.2	ENST00000456392
CTC-338M12.5	ENST00000508877
RP3-468B3.2	ENST00000530000
SLFN14	ENST00000415846
OR2M5	ENST00000366476
RPL38P4	ENST00000502376
OR7E111P	ENST00000442229
ICA1L	ENST00000358299
RP11-350F16.2	ENST00000519032
RNU4-81P	ENST00000363561
EIF3B	ENST00000360876
RNU6-310P	ENST00000384655
CORO6	ENST00000345068
NRG1-IT3	ENST00000519023
CSE1L	ENST00000262982
AC012314.20	ENST00000609277
AC012314.20	ENST00000577091
AC012314.20	ENST00000608271
AC012314.20	ENST00000608878
AC012314.20	ENST00000609296
AC012314.20	ENST00000574521
AC012314.20	ENST00000426213
AC012314.20	ENST00000573973
AC012314.20	ENST00000603876
AC012314.20	ENST00000609465
CTC-571O20.1	ENST00000605088
CTC-459M5.2	ENST00000515563
AKAP11	ENST00000025301
RP1-148H17.1	ENST00000437920
CHRNA9	ENST00000310169
FABP6	ENST00000393980
KCNK6	ENST00000263372
ZNF440	ENST00000304060
PHKA1-AS1	ENST00000595890
PHKA1-AS1	ENST00000420998
PIWIL2	ENST00000356766
RARRES2P2	ENST00000394842
RP13-512J5.1	ENST00000438485
LINC00973	ENST00000473756
DR1	ENST00000370267
TPD52	ENST00000537855
RP11-536G4.2	ENST00000553194
RNA5SP369	ENST00000411114
ZNF454	ENST00000320129
CTC-235G5.2	ENST00000513990
RNU6-214P	ENST00000384130
CDK19	ENST00000368911
RNU6-329P	ENST00000459618
CDY23P	ENST00000451661
RN7SL870P	ENST00000460111
LINC01031	ENST00000420807
RP11-3P22.1	ENST00000413094
CTD-2118P12.1	ENST00000574628
CTD-2118P12.1	ENST00000565798
EEF1B2P3	ENST00000447718
RP5-1172N10.2	ENST00000452501
PPFIA3	ENST00000334186
AC004054.1	ENST00000515111
FEZ2	ENST00000379245
SLC25A40	ENST00000341119
RN7SL853P	ENST00000477951
RP11-790J24.1	ENST00000521504
MIR1260A	ENST00000408827
RP11-13N12.2	ENST00000521055
MIR1277	ENST00000408536
ATP5C1	ENST00000356708
TFB1M	ENST00000367166
NKAIN3	ENST00000328472
LINC00608	ENST00000432733
OR4Q1P	ENST00000557009
SPATA13-AS1	ENST00000430733
OFD1P6Y	ENST00000451061
SSBP1	ENST00000570667
SSBP1	ENST00000265304
SNORA74	ENST00000580726
SNORA74	ENST00000411179
SNORA74	ENST00000411250
SNORA74	ENST00000606776
SNORA74	ENST00000517108
SNORA74	ENST00000516404
SNORA74	ENST00000516320
SNORA74	ENST00000516496
SNORA74	ENST00000607595
RP1-66C13.4	ENST00000582441
DUX4L13	ENST00000420742
RP11-568A7.3	ENST00000454185
STYK1	ENST00000075503
RP11-108P20.4	ENST00000589476
AC034228.3	ENST00000424244
RP11-81F13.2	ENST00000557642
FAM131B	ENST00000443739
RP11-738B7.1	ENST00000496217
GUCY1A2	ENST00000282249
CEBPZ	ENST00000234170
TMEM209	ENST00000397622
RP11-280K24.6	ENST00000556114
PAX8	ENST00000429538
FAM71C	ENST00000324341
ZNF644	ENST00000337393
PKIA	ENST00000352966
SYT15	ENST00000374323
SYT15	ENST00000583692
GLYR1	ENST00000321919
KRT18P43	ENST00000469825
SNORD13	ENST00000459299
HEATR3	ENST00000299192
IFNL2	ENST00000331982
SFTPA2	ENST00000372325
SOWAHD	ENST00000343905
THSD7B	ENST00000272643
RPS16P9	ENST00000477220
TAAR6	ENST00000275198
AC007899.3	ENST00000412776
ENPP7P10	ENST00000504828
AC019178.2	ENST00000392337
RP11-334G22.1	ENST00000608934
RP11-267M23.6	ENST00000518463
CTD-2008L17.2	ENST00000382897
RP11-4M23.3	ENST00000411815
RP11-314M24.1	ENST00000484679
MIR4736	ENST00000581591
RNY4P25	ENST00000459254
RHPN2	ENST00000254260
RN7SL309P	ENST00000491364
OR51B5	ENST00000300773
DHX9P1	ENST00000436565
MIR2467	ENST00000584559
RPS12P21	ENST00000471647
MAP3K12	ENST00000547035
CCDC42	ENST00000293845
DYNLRB2	ENST00000562982
SETP17	ENST00000534163
AP001048.4	ENST00000436359
RP11-760D2.10	ENST00000341855
RNU7-192P	ENST00000516466
COX17	ENST00000484810
RP11-597A11.6	ENST00000555580
RP11-400N13.2	ENST00000441160
AC005176.3	ENST00000600975
CTB-33G10.11	ENST00000600665
CD209	ENST00000315599
CTB-78F1.1	ENST00000522956
RP1-153P14.3	ENST00000445172
MIR4641	ENST00000578353
UBN2	ENST00000473989
AC007278.3	ENST00000450893
GABBR1	ENST00000425097
GABBR1	ENST00000418225
GABBR1	ENST00000383638
GABBR1	ENST00000383542
GABBR1	ENST00000377034
GABBR1	ENST00000439457
GABBR1	ENST00000423604
DNAH1	ENST00000420323
TMEM119	ENST00000392806
CYBA	ENST00000567174
PPOX	ENST00000352210
PPIAP14	ENST00000577627
DLGAP1-AS1	ENST00000317114
RN7SL165P	ENST00000477476
HIC2	ENST00000407464
RP5-839B4.8	ENST00000449270
RNU2-37P	ENST00000410695
EIF3J	ENST00000261868
RNU6-1156P	ENST00000410365
OR8K5	ENST00000313447
RP11-40F6.1	ENST00000423182
RPL7P48	ENST00000461513
ARHGEF10	ENST00000398564
RPL27AP5	ENST00000469428
ZNF772	ENST00000343280
GS1-304P7.2	ENST00000456921
RP11-158M2.3	ENST00000558375
KB-1125A3.10	ENST00000542932
SNORA25	ENST00000365507
SNORA25	ENST00000384384
SNORA25	ENST00000362326
SNORA25	ENST00000362522
SNORA25	ENST00000363205
SNORA25	ENST00000363666
SNORA25	ENST00000363782
SNORA25	ENST00000515935
SNORA25	ENST00000515926
SNORA25	ENST00000364121
SNORA25	ENST00000516202
SNORA25	ENST00000364375
SNORA25	ENST00000516741
SNORA25	ENST00000517184
SNORA25	ENST00000516395
SNORA25	ENST00000516481
SNORA25	ENST00000516487
SNORA25	ENST00000365087
SNORA25	ENST00000364831
SNORA25	ENST00000607153
RP11-141J13.5	ENST00000573270
ME3	ENST00000359636
RSL24D1P11	ENST00000591045
TUBB1P2	ENST00000422712
HPDL	ENST00000334815
RP5-821D11.7	ENST00000333487
ZSWIM1	ENST00000372520
PCDH10	ENST00000264360
CCDC74A	ENST00000295171
PARP11	ENST00000228820
DEFB115	ENST00000400552
NKAP	ENST00000371410
TBC1D16	ENST00000310924
FAM13A-AS1	ENST00000500765
PPY	ENST00000587006
NKX2-1	ENST00000354822
NDUFS6	ENST00000469176
ACAD8	ENST00000281182
ECHDC3	ENST00000379215
CTC-497E21.5	ENST00000531136
AC091633.2	ENST00000454858
RNU7-123P	ENST00000515911
IQCE	ENST00000402050
DDX39AP1	ENST00000445147
LRP5	ENST00000294304
GZMM	ENST00000264553
SAG	ENST00000409110
AC013436.6	ENST00000425077
RAP1GDS1	ENST00000339360
RP11-532F12.5	ENST00000564302
TUBBP2	ENST00000454403
FAM86C1	ENST00000359244
VAPB	ENST00000475243
RP11-353N14.3	ENST00000570408
SLC22A1	ENST00000366963
AC019206.1	ENST00000599032
RP11-629B11.4	ENST00000514414
SNORD115-18	ENST00000363293
TTL	ENST00000233336
PARP1	ENST00000366794
FAM104B	ENST00000332132
HSBP1P1	ENST00000555205
RP11-15A1.2	ENST00000586247
HMGCS1	ENST00000325110
BTBD8	ENST00000342818
RP11-295G20.2	ENST00000416221
CCZ1B	ENST00000316731
RNU6-820P	ENST00000384273
RNY4P18	ENST00000391107
UBE2Q2P8	ENST00000560644
RPL17P19	ENST00000489069
EFCAB14	ENST00000371933
CWC27	ENST00000381070
HMGN2P3	ENST00000433603
RP11-737O24.1	ENST00000582591
RNU6-11P	ENST00000364234
UBTFL6	ENST00000593671
YBX1P3	ENST00000468366
MINK1	ENST00000355280
TP53BP2	ENST00000343537
ITGA11	ENST00000423218
RP11-51J9.6	ENST00000606555
KIAA1644	ENST00000381176
RNA5SP284	ENST00000384547
CENPQ	ENST00000335783
RP13-57D9.3	ENST00000454131
CTD-2249K22.1	ENST00000512859
RP11-409C19.2	ENST00000519029
RP11-331O9.2	ENST00000406098
RNU6-477P	ENST00000383887
ASB15	ENST00000275699
TMEM63A	ENST00000366835
RP11-60H5.1	ENST00000567718
RP11-1081M5.1	ENST00000521558
RN7SKP96	ENST00000516948
NELFE	ENST00000457397
NELFE	ENST00000448628
NELFE	ENST00000383343
NELFE	ENST00000383174
NELFE	ENST00000429857
NELFE	ENST00000375425
RP11-94B19.5	ENST00000582755
RP6-166C19.18	ENST00000605428
MIR518A2	ENST00000384966
C12orf54	ENST00000314014
RNU6-757P	ENST00000410334
CEACAM7	ENST00000609425
CEACAM7	ENST00000006724
RN7SL58P	ENST00000473445
GTF2A1L	ENST00000403751
TCAM1P	ENST00000478379
LINC01170	ENST00000519703
BIN2	ENST00000267012
CTB-41I6.1	ENST00000585297
SSR2	ENST00000295702
PTPRZ1	ENST00000393386
SLC25A38P1	ENST00000458247
IGKV2D-36	ENST00000518643
MTND1P26	ENST00000440488
SERPINE1	ENST00000223095
RP11-388E23.4	ENST00000604114
RNU6-604P	ENST00000390917
TNFSF8	ENST00000223795
MIR4663	ENST00000582039
RP5-971N18.3	ENST00000457707
FAM98C	ENST00000252530
MIR1273G	ENST00000577677
MIR378D1	ENST00000580913
GAS6-AS2	ENST00000608651
RN7SL861P	ENST00000473793
CRYGC	ENST00000282141
RP11-327P2.5	ENST00000456688
CTD-2316B1.2	ENST00000511417
OVCH1	ENST00000318184
RN7SL216P	ENST00000471607
RP1-57E3.1	ENST00000604551
CAPN8	ENST00000366872
MIPEPP3	ENST00000412105
RP11-1072N2.2	ENST00000507974
RNA5SP318	ENST00000516352
CAMK1G	ENST00000009105
PAICS	ENST00000399688
RP5-884M6.1	ENST00000602761
RP11-856F16.2	ENST00000575218
RP11-856F16.2	ENST00000545958
KRT75	ENST00000252245
RP11-548K12.12	ENST00000430646
RP11-545M17.3	ENST00000556877
SYNJ1	ENST00000433931
ZNF35	ENST00000396056
THAP4	ENST00000407315
RP11-70F11.8	ENST00000546821
RP11-107D24.2	ENST00000570105
SNORD67	ENST00000390833
SNORD67	ENST00000516618
RP1-74B13.2	ENST00000551161
TBC1D10A	ENST00000403477
RP11-10C24.2	ENST00000605502
TAAR4P	ENST00000454843
ID3	ENST00000374561
TRMT112P4	ENST00000429016
PLEKHM3	ENST00000427836
RN7SL196P	ENST00000478496
RP11-286H14.8	ENST00000466717
COX7B2	ENST00000302930
BCAR1	ENST00000418647
ZNF706	ENST00000311212
AC114755.4	ENST00000439114
LINC00488	ENST00000494582
AC003045.1	ENST00000398779
RP11-324L17.1	ENST00000608775
EXOC3L1	ENST00000314586
RP11-700E23.1	ENST00000523385
SNRPA1	ENST00000254193
BLOC1S5	ENST00000397457
GRAMD1B	ENST00000456860
CD7	ENST00000312648
RAB9BP1	ENST00000519581
CDC40	ENST00000307731
RNA5SP374	ENST00000362939
RP11-163E9.1	ENST00000562643
RP11-163E9.1	ENST00000426478
RP11-498C9.2	ENST00000576784
RP11-136F16.1	ENST00000549103
FAM8A6P	ENST00000407496
WIF1	ENST00000286574
TRBV29-1	ENST00000566487
TRBV29-1	ENST00000422143
MIR5685	ENST00000579080
RP11-416N13.1	ENST00000422823
CTD-2128F4.1	ENST00000511296
CTB-88F18.3	ENST00000509908
MIR3684	ENST00000579779
TAS2R2P	ENST00000421146
RP11-285A1.1	ENST00000566715
RP11-147K6.1	ENST00000471148
C12orf65	ENST00000253233
RP11-218E20.3	ENST00000553648
RP11-65L19.4	ENST00000606096
OPCML-IT1	ENST00000533859
AC093620.5	ENST00000342963
RP11-945A11.2	ENST00000525512
RABEPKP1	ENST00000440529
RP1-37M3.8	ENST00000438230
RP11-547C5.2	ENST00000551279
AC004623.2	ENST00000589673
RP1-296G17.3	ENST00000424220
TSPAN10	ENST00000572675
TAS2R20	ENST00000572663
TAS2R20	ENST00000570941
TAS2R20	ENST00000538986
MB	ENST00000359787
PSPC1	ENST00000338910
RP11-550A9.1	ENST00000434711
ANKRD34C	ENST00000421388
AC079896.1	ENST00000455845
CCL14	ENST00000480944
ARHGAP31-AS1	ENST00000466292
ANTXRL	ENST00000447511
KB-1410C5.1	ENST00000520123
C15orf52	ENST00000559313
PLD3	ENST00000356508
RP11-29B9.2	ENST00000435444
ZC3H12C	ENST00000528673
RP11-64K10.1	ENST00000558111
MIR132	ENST00000591554
AC018463.5	ENST00000545442
CTD-3131K8.3	ENST00000596192
MIR4466	ENST00000606121
EMILIN1	ENST00000380320
ACOXL	ENST00000439055
AC092635.1	ENST00000434509
RP5-1142A6.2	ENST00000567968
RP11-456D7.1	ENST00000582246
SBDSP1	ENST00000456312
SBDSP1	ENST00000575155
OR1R1P	ENST00000572493
CYP26B1	ENST00000001146
CALML3-AS1	ENST00000543008
APOA2	ENST00000464492
RP11-659G9.3	ENST00000527550
RP11-9M16.2	ENST00000448674
PDIA6	ENST00000404371
WFDC10A	ENST00000372643
ARSK	ENST00000380009
MIR4459	ENST00000581837
RP11-343L5.2	ENST00000607625
AC068538.2	ENST00000535145
NRBP1	ENST00000379863
RP11-1070N10.3	ENST00000554161
RP11-762H8.4	ENST00000558192
MIR3186	ENST00000583105
MIR3186	ENST00000577404
RP11-359N5.1	ENST00000554445
STUB1	ENST00000219548
AC023271.1	ENST00000445936
RP11-627K11.3	ENST00000538551
AC000095.9	ENST00000603208
RP11-278C7.1	ENST00000550917
ACAD10	ENST00000455480
POLR2B	ENST00000314595
FER1L6-AS1	ENST00000518567
RP11-49O14.2	ENST00000416455
TAF15	ENST00000605844
TAF15	ENST00000588240
C8orf46	ENST00000305454
CLPB	ENST00000535990
TPM3P7	ENST00000338274
TSR2	ENST00000375151
LSM7	ENST00000252622
NEURL2	ENST00000372518
ARMC4	ENST00000305242
CTD-2244C20.2	ENST00000511474
GLRA3	ENST00000274093
USP47	ENST00000399455
CTB-31O20.4	ENST00000590823
AC007249.3	ENST00000404616
RP11-447H19.2	ENST00000511389
RN7SL253P	ENST00000476759
PCDHGB4	ENST00000519479
RP11-768G7.1	ENST00000461787
RP11-283I3.6	ENST00000570140
CEBPA	ENST00000498907
LINC00955	ENST00000514422
RP11-402L5.1	ENST00000523658
RP11-321C24.1	ENST00000437748
RP11-678D18.1	ENST00000518241
CTB-102L5.8	ENST00000598146
PRYP4	ENST00000306589
ARSF	ENST00000359361
RPL18AP2	ENST00000450007
HRG	ENST00000232003
VN1R32P	ENST00000452234
FAM177A1P1	ENST00000503598
RNASEH2B	ENST00000336617
PIM1	ENST00000373509
ARSA	ENST00000216124
RP1-232L24.2	ENST00000444542
RP1-232L24.2	ENST00000576576
RP11-483P21.2	ENST00000565064
KLRC4	ENST00000309384
RPS3AP50	ENST00000487064
EHD1	ENST00000320631
RP11-130L8.1	ENST00000602445
OR4X7P	ENST00000526939
CCT3	ENST00000295688
RP1-30M3.5	ENST00000607014
AKAP14	ENST00000371431
RP11-814E24.3	ENST00000450682
RNU6-246P	ENST00000384702
SLC10A1	ENST00000216540
CTD-2320J21.1	ENST00000604949
HOXA11-AS	ENST00000522863
CTD-2331D11.3	ENST00000505572
IL11RA	ENST00000318041
ARMCX3-AS1	ENST00000454228
ARMCX3-AS1	ENST00000601932
IGKV3D-7	ENST00000423080
RP11-317M11.1	ENST00000506950
RNU6-1273P	ENST00000363033
RNU6-627P	ENST00000364032
RP11-262I2.2	ENST00000427247
RDH13	ENST00000576188
RDH13	ENST00000574209
RDH13	ENST00000571931
RDH13	ENST00000574820
RDH13	ENST00000573119
RDH13	ENST00000573082
RDH13	ENST00000571734
RDH13	ENST00000605198
RDH13	ENST00000573777
RDH13	ENST00000415061
