STYX	ENST00000354586
MIR8089	ENST00000620165
STK38L	ENST00000389032
OR13Z2P	ENST00000606338
SNORD113-6	ENST00000363345
MIR7845	ENST00000618396
GMCL1P2	ENST00000605230
CCDC97	ENST00000269967
TRHDE-AS1	ENST00000549957
IGKV2-26	ENST00000518305
RP11-26L20.4	ENST00000573934
AC114814.4	ENST00000444926
CTB-187M2.1	ENST00000435953
CTD-2192J16.24	ENST00000597961
IQCJ-SCHIP1-AS1	ENST00000460574
RRM2	ENST00000360566
CH507-9B2.9	ENST00000623998
RP11-364B6.2	ENST00000634580
CDH26	ENST00000348616
RP11-703I16.1	ENST00000587619
SIN3A	ENST00000360439
RP11-8H2.1	ENST00000591191
AC140481.8	ENST00000448777
SNRNP40	ENST00000263694
RNF17	ENST00000255324
IGLV3-9	ENST00000390316
RP11-158I23.1	ENST00000508263
RHOF	ENST00000267205
AJ003147.11	ENST00000622989
GS1-279B7.2	ENST00000609881
R3HDML	ENST00000217043
ACSM4	ENST00000399422
RP13-895J2.9	ENST00000624298
CTD-3066C23.1	ENST00000619986
C14orf39	ENST00000321731
MIR5698	ENST00000577643
SHC3	ENST00000375835
LINC00961	ENST00000443779
RP11-546M21.6	ENST00000585899
CRY1	ENST00000008527
GRIN2B	ENST00000609686
EGFL6	ENST00000380602
SLC2A2	ENST00000314251
TBC1D3P5	ENST00000586223
GPER1	ENST00000617001
ITGB1	ENST00000423113
HNRNPA1P38	ENST00000523612
MTND4P10	ENST00000446199
CFAP20	ENST00000262498
RP11-779O18.4	ENST00000604389
RP1-67K17.3	ENST00000437067
LINC-PINT	ENST00000451786
RP11-253E3.3	ENST00000513358
SLC41A2	ENST00000258538
ZNF300P1	ENST00000520773
RP11-684B20.1	ENST00000531194
CR769776.3	ENST00000441254
C2orf78	ENST00000409561
LINC00941	ENST00000547804
RN7SKP279	ENST00000411383
AC006116.14	ENST00000592968
AP001628.7	ENST00000420273
AC021021.2	ENST00000436082
RP11-139J15.5	ENST00000427232
RBBP8P1	ENST00000449447
UTS2R	ENST00000313135
SRSF6	ENST00000244020
C16orf95	ENST00000567970
KB-1460A1.2	ENST00000520411
AC093627.10	ENST00000484550
RP11-356J5.13	ENST00000595053
CCNYL1	ENST00000295414
RP11-342F17.1	ENST00000482584
RP11-461L13.5	ENST00000605407
AC114814.3	ENST00000449362
AC093818.1	ENST00000450443
PSEN1	ENST00000324501
RP11-350D17.3	ENST00000605070
C7orf65	ENST00000408988
BSX	ENST00000343035
DIAPH1	ENST00000389054
RFNG	ENST00000310496
SOX5	ENST00000451604
JAKMIP2-AS1	ENST00000626945
VCX3A	ENST00000381089
GTF2IP9	ENST00000502460
RP11-481L19.3	ENST00000636452
SLC26A4-AS1	ENST00000440512
SCGB2B3P	ENST00000599388
ORC3	ENST00000257789
RP11-495P10.1	ENST00000445243
RP11-550H2.2	ENST00000434540
IGHV3-25	ENST00000518224
RP4-559A3.6	ENST00000513672
AGAP5	ENST00000374094
TRAV3	ENST00000390425
TAF1B	ENST00000263663
MIR6511B2	ENST00000636908
RP11-571E6.3	ENST00000366224
RP11-489O18.1	ENST00000521793
PCYOX1L	ENST00000274569
ITGA4	ENST00000397033
NDUFA12	ENST00000327772
BTF3P11	ENST00000426582
RP11-7D5.2	ENST00000398190
BDNF	ENST00000438929
AC074212.5	ENST00000592217
RP11-140L24.3	ENST00000534211
MIR520A	ENST00000384862
CTD-2140B24.4	ENST00000540096
IGKV1-9	ENST00000493819
RP11-293M10.2	ENST00000555909
RNU6-1147P	ENST00000363380
PNMAL1	ENST00000313683
RP11-795J1.2	ENST00000421403
CYP2D8P	ENST00000433633
IQCB2P	ENST00000401788
RNU6-309P	ENST00000364573
CTD-2553L13.10	ENST00000612269
AC007742.3	ENST00000425789
IGKV2D-19	ENST00000523346
RP11-1036F1.1	ENST00000424588
MIR217HG	ENST00000446139
MIR601	ENST00000385256
LINC00106	ENST00000430235
KRTAP13-6P	ENST00000508999
RP11-95C14.1	ENST00000634535
AC004014.3	ENST00000413406
MTND1P11	ENST00000456661
AC006328.9	ENST00000437571
RP11-413M3.4	ENST00000439501
RNU6-391P	ENST00000365180
XXbac-BPG16N22.5	ENST00000538358
DIXDC1	ENST00000440460
RP11-179B2.2	ENST00000608554
HLA-N	ENST00000437516
DYNC2H1	ENST00000398093
RN7SL536P	ENST00000612366
GCLM	ENST00000370238
FBXO6	ENST00000376753
RNASE1	ENST00000340900
AFF3	ENST00000409579
MEIKIN	ENST00000442687
IGKV1OR9-2	ENST00000431378
AKAP5	ENST00000320636
RP11-6N17.4	ENST00000580459
AC114812.5	ENST00000450901
RP5-890O3.9	ENST00000444968
AC097467.2	ENST00000599555
MCCC1	ENST00000265594
RIC8B	ENST00000392837
GP9	ENST00000307395
OR2T29	ENST00000328570
MTND6P25	ENST00000528711
HEMGN	ENST00000259456
DKFZP434A062	ENST00000573103
SNORA52	ENST00000362915
RBM47	ENST00000295971
MIOX	ENST00000216075
PCYT1B	ENST00000379144
RPL23AP46	ENST00000438548
ENG	ENST00000373203
RNU6-396P	ENST00000365369
FAM197Y1P	ENST00000421178
RP11-359G22.4	ENST00000635654
IL2RB	ENST00000216223
RP11-325K4.3	ENST00000565861
CNOT3	ENST00000221232
RP11-640N20.9	ENST00000583895
VPREB1	ENST00000403807
AC006196.1	ENST00000447194
HMGN1P36	ENST00000446623
RHPN1-AS1	ENST00000518049
CH17-31A6.1	ENST00000633673
TCL6	ENST00000497248
KRTAP21-3	ENST00000444335
KRT28	ENST00000306658
VN1R93P	ENST00000601155
GGT5	ENST00000398292
ACBD7	ENST00000356189
RP3-492P14.2	ENST00000401636
FAM96B	ENST00000422424
NDUFA9P1	ENST00000436210
RP11-332K15.1	ENST00000419832
CDY17P	ENST00000414121
RP11-568A7.4	ENST00000625787
RP11-487E1.2	ENST00000431514
HNRNPCL1	ENST00000317869
RPSAP22	ENST00000453567
RP11-144C15.2	ENST00000635481
RP11-135M8__A.1	ENST00000405153
CTD-2561J22.2	ENST00000594254
RP11-325D8.1	ENST00000554205
RP11-449D8.1	ENST00000577994
MAD2L1	ENST00000296509
SNAP23	ENST00000249647
PHGR1	ENST00000448599
RP11-279O17.3	ENST00000564185
LINC01202	ENST00000625268
RP11-706C16.13	ENST00000637396
AC011718.3	ENST00000622906
GM2AP1	ENST00000491450
ZCCHC3	ENST00000500893
AC010969.1	ENST00000340444
AC009410.1	ENST00000432481
DHX40	ENST00000251241
RP11-851M3.1	ENST00000472460
FKBP9	ENST00000538336
IFNL2	ENST00000331982
CTC-497E21.3	ENST00000533002
GABRA1	ENST00000638159
RP11-30M20.1	ENST00000311910
SNORD99	ENST00000408612
MRPS27	ENST00000513900
ABCB10P1	ENST00000614297
MIR548AZ	ENST00000616567
CELA2B	ENST00000375910
CHURC1-FNTB	ENST00000549987
GYG1	ENST00000345003
MIR4706	ENST00000582134
RP11-511B23.4	ENST00000605469
MIR1294	ENST00000408503
SNRPFP1	ENST00000414761
FAM181A-AS1	ENST00000554742
RSL1D1	ENST00000571133
CTSB	ENST00000345125
LRRK1	ENST00000388948
GXYLT1P2	ENST00000433312
RNU6-1149P	ENST00000516810
HERC2P5	ENST00000562687
NAPSB	ENST00000527780
AC123023.1	ENST00000455974
RP11-662I13.2	ENST00000546353
RP11-736N17.10	ENST00000618272
RP11-435I10.6	ENST00000616703
RP11-399K21.10	ENST00000427610
MCUB	ENST00000394650
TDRD5	ENST00000444136
ZNF599	ENST00000329285
SERBP1	ENST00000370995
MMP3	ENST00000299855
CDK14	ENST00000380050
IGHV3-50	ENST00000522107
RNU6-628P	ENST00000410675
AF096876.1	ENST00000565564
RP11-677M14.7	ENST00000499143
RP11-178D12.2	ENST00000562625
FAM96A	ENST00000300030
SDHAF2	ENST00000301761
LPIN2	ENST00000261596
RP11-216M21.5	ENST00000425632
HOXB4	ENST00000332503
INPP4A	ENST00000074304
CTD-2007L18.5	ENST00000564469
RP1-127L4.10	ENST00000423412
BAIAP2L2	ENST00000381669
RP11-284H19.1	ENST00000535755
RPL10P2	ENST00000310599
CYP4F9P	ENST00000589847
DPF2	ENST00000252268
RP3-365O12.2	ENST00000451135
RP11-84O12.3	ENST00000435130
RNA5SP176	ENST00000390956
CTD-2651B20.4	ENST00000560646
RP11-654C20.1	ENST00000622964
OR7G15P	ENST00000617262
LINC00575	ENST00000426551
RMST_3	ENST00000611651
AUP1	ENST00000377526
LINC00167	ENST00000530583
RP11-647K16.1	ENST00000609166
CELF6	ENST00000287202
UBE2C	ENST00000356455
THBS4	ENST00000350881
SLC36A1	ENST00000243389
CTD-2090I13.3	ENST00000447187
RP11-134G8.5	ENST00000441932
RP11-720L8.1	ENST00000561054
FBXO15	ENST00000419743
ZSCAN20	ENST00000361328
MIR128-1	ENST00000384921
RP11-34F13.2	ENST00000502156
RP11-59O2.1	ENST00000521474
CTC-529L17.2	ENST00000503489
EEF1A1P12	ENST00000443590
SNORA47	ENST00000458862
RNA5SP35	ENST00000391257
RHOXF2	ENST00000371388
TSPY20P	ENST00000450910
ZNF965P	ENST00000432501
RP11-393N21.1	ENST00000414338
MIR4471	ENST00000584480
RALYL	ENST00000517638
AC010149.4	ENST00000455357
RPS7P12	ENST00000422385
RP11-420B22.1	ENST00000522670
RP13-608F4.5	ENST00000617986
XXyac-YM21GA2.7	ENST00000399186
TMEM229A	ENST00000455783
NOC2LP1	ENST00000452600
RP11-421N8.1	ENST00000567372
RP3-326L13.2	ENST00000625081
IGKV1OR-3	ENST00000446944
GOLGA6L4	ENST00000510439
RP11-363N22.2	ENST00000435531
RP4-555D20.3	ENST00000605537
AP001610.9	ENST00000415820
FZD3	ENST00000240093
AC079896.1	ENST00000455845
HBG1	ENST00000330597
SLC16A12-AS1	ENST00000454270
SRC	ENST00000373558
GLS	ENST00000320717
C19orf60	ENST00000358607
RP11-52I18.1	ENST00000424289
LAMA4	ENST00000230538
MIR26A1	ENST00000362205
AC145124.2	ENST00000528514
PRR13P1	ENST00000456678
RP11-351D16.3	ENST00000609407
TPM3	ENST00000271850
MYLK	ENST00000360304
SHMT1P1	ENST00000419974
AKNAD1	ENST00000370001
PACSIN2	ENST00000263246
RNU6-666P	ENST00000363499
RPS3AP12	ENST00000443616
ZNF829	ENST00000520965
HIF1AN	ENST00000299163
NEBL-AS1	ENST00000439097
STAT2	ENST00000314128
ITGA8	ENST00000378076
RPL36AP26	ENST00000476382
RNA5SP407	ENST00000410275
TRIB2	ENST00000155926
EXOSC6	ENST00000435634
RN7SL793P	ENST00000583259
LINC00368	ENST00000422994
BNIP3P28	ENST00000603918
TUBBP8	ENST00000560273
CTB-189B5.3	ENST00000597303
RP11-805L22.2	ENST00000584218
FGF6	ENST00000228837
RP11-103H7.5	ENST00000524320
MIR378E	ENST00000581976
APC2	ENST00000233607
GOLGA2P1	ENST00000512938
RP11-1315F8.2	ENST00000614164
MIR1302-7	ENST00000408841
RP11-301G23.1	ENST00000496877
RP11-216N14.5	ENST00000427283
PPP1R12B	ENST00000391959
ANAPC10	ENST00000309439
AC061992.2	ENST00000586321
PCDH10	ENST00000264360
RP11-493E12.1	ENST00000605902
ZNF397	ENST00000330501
TERT	ENST00000310581
SEC16A	ENST00000313050
SNORD70	ENST00000391007
SNORD70	ENST00000391232
RP11-768G7.1	ENST00000461787
RP11-356I2.4	ENST00000606998
RNU6-1126P	ENST00000384002
CTC-498J12.1	ENST00000479830
RP11-687F6.5	ENST00000621730
CPXM2	ENST00000241305
CLDN1	ENST00000295522
AC097463.2	ENST00000421074
SLC12A4	ENST00000422611
AP004290.1	ENST00000440915
C3orf36	ENST00000408895
SPAG17	ENST00000336338
RP11-321M21.3	ENST00000578340
AC018804.6	ENST00000430381
ZNF423	ENST00000262383
LSM5	ENST00000450169
SRSF4	ENST00000373795
KB-1507C5.3	ENST00000523791
RNA5S5	ENST00000362526
CCDC113	ENST00000219299
HHIPL1	ENST00000330710
RP11-727F15.14	ENST00000636508
RP5-1125N11.2	ENST00000635009
RP11-739G5.1	ENST00000554318
TRIM7	ENST00000274773
MIR619	ENST00000384890
AP001092.4	ENST00000433606
MTND3P3	ENST00000505004
SEC24C	ENST00000339365
RP11-161H23.9	ENST00000553259
RP3-342P20.2	ENST00000438210
RP11-709A23.1	ENST00000506925
RBM11	ENST00000400577
MIR494	ENST00000349529
LINC00485	ENST00000547179
RP11-303E16.5	ENST00000562450
RP11-361L15.3	ENST00000623356
RP11-6F6.1	ENST00000445897
RP5-1053E7.3	ENST00000399029
RNU6-478P	ENST00000363904
AC142528.1	ENST00000450917
RP5-823G15.5	ENST00000558738
RP11-498C9.4	ENST00000623802
RP11-468N14.12	ENST00000503544
RP11-304M2.3	ENST00000527297
COX5BP8	ENST00000416911
RP11-368I23.2	ENST00000484765
FBN1	ENST00000316623
CENPP	ENST00000375587
HGH1	ENST00000347708
EFEMP2	ENST00000307998
LSM10	ENST00000315732
RP11-417J1.7	ENST00000624775
ICAM4	ENST00000340992
AC007906.1	ENST00000624244
LINC01391	ENST00000495287
MTND6P32	ENST00000457611
RP1-153P14.8	ENST00000570443
ARHGEF26	ENST00000356448
RP11-17A1.3	ENST00000499625
ALOX15P2	ENST00000340858
AL022345.7	ENST00000607292
ANKRD65	ENST00000454272
ENDOD1	ENST00000278505
PRDM15	ENST00000269844
COMMD1	ENST00000311832
RP11-364L4.3	ENST00000512715
SNX19	ENST00000265909
PMF1-BGLAP	ENST00000368276
ANKRD20A2	ENST00000377601
MED28P7	ENST00000456611
RP11-57H12.5	ENST00000624135
PPP1R35	ENST00000292330
MIR216A	ENST00000385063
ERICH5	ENST00000318528
SRSF10P1	ENST00000588646
RP11-354P11.3	ENST00000581946
H2AFX	ENST00000375167
SLC35D2	ENST00000253270
IGSF1	ENST00000370903
YBX1P5	ENST00000509441
TAF5	ENST00000369839
RP11-876N24.7	ENST00000618667
PTH	ENST00000282091
RNU6-340P	ENST00000364005
MIR4636	ENST00000582271
AC009967.3	ENST00000379462
AC005237.4	ENST00000458377
RP11-62I21.1	ENST00000446321
AC093495.4	ENST00000628785
RP11-46C24.7	ENST00000570267
CTD-2300H10.2	ENST00000624476
DEFA3	ENST00000327857
AC002066.1	ENST00000439070
NDUFS5P2	ENST00000484004
RNU7-104P	ENST00000459398
GUCY1A3	ENST00000296518
RP11-158L12.4	ENST00000623804
FAM49B	ENST00000401979
KRTAP20-1	ENST00000334664
RBMY1D	ENST00000382680
FCF1P1	ENST00000432690
SNRPG	ENST00000454893
RP11-44L9.2	ENST00000562748
SPATA20P1	ENST00000423089
BAG4	ENST00000287322
CCDC12	ENST00000292314
GABRR2	ENST00000402938
AC243756.1	ENST00000584068
LINC00385	ENST00000435044
MIR5583-2	ENST00000637402
AL121656.5	ENST00000440786
CTD-2206N4.5	ENST00000612680
RP11-818F20.4	ENST00000547554
KLK5	ENST00000336334
CTD-2595P9.4	ENST00000615979
GAGE13	ENST00000612958
AC008697.1	ENST00000636819
Xist_exon4	ENST00000615964
KCNE5	ENST00000372101
ASPHD2	ENST00000215906
SYNPR-AS1	ENST00000488201
MYO5BP2	ENST00000449815
LINC01353	ENST00000412772
RN7SL200P	ENST00000585129
AQP3	ENST00000297991
AC005786.3	ENST00000588553
MRPL54	ENST00000330133
RP11-474C8.7	ENST00000624796
KLHL26	ENST00000300976
FOXA1	ENST00000250448
RP11-565P22.6	ENST00000431696
AC016735.1	ENST00000457457
RP3-382I10.3	ENST00000406493
RP11-331K21.1	ENST00000512647
CTC-265F19.1	ENST00000587894
RP11-33I11.2	ENST00000534670
AP000235.2	ENST00000441009
RN7SL744P	ENST00000577604
MIR648	ENST00000385046
KIF18BP1	ENST00000567585
RNA5SP513	ENST00000364648
CROCCP5	ENST00000436658
SNORD93	ENST00000408813
SDHCP4	ENST00000532834
RP5-1014O16.10	ENST00000424803
TDRD6	ENST00000316081
HNRNPA3P14	ENST00000444546
RPS3AP9	ENST00000417027
RP11-271K11.6	ENST00000618264
RP11-168E17.1	ENST00000505386
TNK1	ENST00000576812
HMGN2P31	ENST00000432430
OR4A4P	ENST00000532898
RP11-813P10.2	ENST00000549280
AK9	ENST00000424296
FLVCR1-AS1	ENST00000356684
RP11-625I7.1	ENST00000513871
RP11-134L4.2	ENST00000427423
YIPF3	ENST00000506469
TUBA4B	ENST00000490341
RP11-332J15.2	ENST00000510622
TSSK2	ENST00000399635
RP11-520A21.1	ENST00000453828
CTD-2291D10.1	ENST00000564534
RN7SKP238	ENST00000516483
RNU6-722P	ENST00000411377
KB-1183D5.16	ENST00000422450
DSN1	ENST00000373750
RP11-885N19.6	ENST00000428088
RP11-338I21.1	ENST00000606511
RP1-92C4.2	ENST00000436418
RNU6ATAC9P	ENST00000516210
TTC37	ENST00000358746
OR5AP1P	ENST00000529730
DPY19L2P3	ENST00000414296
GMCL1P1	ENST00000463439
RNU6-1256P	ENST00000516539
OLFML2B	ENST00000367940
AC017101.10	ENST00000453665
AC093642.6	ENST00000446593
RPL6P27	ENST00000489915
AC006195.2	ENST00000423599
MIR4519	ENST00000579767
RNU6-347P	ENST00000516658
RNU1-82P	ENST00000390851
SGO1	ENST00000263753
RP11-445F6.2	ENST00000441249
IGKV6-21	ENST00000390256
AC008280.1	ENST00000418851
RP11-989F5.4	ENST00000624414
MIR550A1	ENST00000385037
ZACNP1	ENST00000612259
RP3-414A15.10	ENST00000555011
RN7SKP191	ENST00000364713
LMO7DN	ENST00000318245
STIP1	ENST00000358794
CTD-2125J1.1	ENST00000565706
LINC01618	ENST00000514957
CTD-3064M3.3	ENST00000562459
FGF14-AS2	ENST00000606448
RP11-5N11.6	ENST00000509629
RNU7-38P	ENST00000459501
RP11-641C17.2	ENST00000496953
RP11-501O2.4	ENST00000460324
KB-1639H6.2	ENST00000522416
PPFIA1	ENST00000253925
RP4-633I8.4	ENST00000433876
ANKUB1	ENST00000446160
RP11-395B7.4	ENST00000441882
OR9A3P	ENST00000485185
MGRN1	ENST00000587747
KCNJ6	ENST00000609713
RP11-678G14.4	ENST00000594927
FIG4	ENST00000230124
PARP11	ENST00000228820
C9orf135	ENST00000377197
RP11-40H20.4	ENST00000425205
TLDC2	ENST00000217320
AC016700.6	ENST00000446011
ZNF860	ENST00000360311
FNDC1	ENST00000297267
RP11-113I22.1	ENST00000503577
RP11-344J7.2	ENST00000451910
MIRLET7I	ENST00000362309
PRELID3B	ENST00000355937
NOTCH1	ENST00000277541
KIF3A	ENST00000403231
RP11-510I6.3	ENST00000509365
AC068831.12	ENST00000557387
RP1-278O22.1	ENST00000417299
SNORA70B	ENST00000384210
RPS21	ENST00000370592
MIR4497	ENST00000583208
DPPA3P2	ENST00000557188
RNA5SP318	ENST00000516352
ADAT3	ENST00000329478
RNU2-32P	ENST00000411193
CTC-559E9.9	ENST00000604980
CYP4F26P	ENST00000433357
MRPL13	ENST00000306185
RP11-18B16.1	ENST00000398764
OLR1	ENST00000309539
RP11-837J7.3	ENST00000624844
SNHG17	ENST00000449469
SLC9B1P2	ENST00000398120
MTTP	ENST00000511045
OR2AT1P	ENST00000525935
CTA-520D8.2	ENST00000441809
RP11-380L11.4	ENST00000602952
SNORA71D	ENST00000363484
RN7SL687P	ENST00000480496
RNMTL1P2	ENST00000454810
AC013264.1	ENST00000282272
RNU6-1118P	ENST00000410382
MIR3907	ENST00000579424
NDUFA7	ENST00000301457
RNU7-190P	ENST00000459241
RP13-820C6.4	ENST00000619709
AC073850.6	ENST00000449243
RP11-162N7.1	ENST00000547819
FAM167A-AS1	ENST00000624614
RP11-417L19.5	ENST00000624048
CXorf23	ENST00000379682
AC078851.1	ENST00000415918
SLC45A3	ENST00000367145
RP11-192C21.2	ENST00000514293
ISCA1P6	ENST00000427740
ADAM15	ENST00000356955
RNU1-11P	ENST00000383975
RP11-385E5.5	ENST00000443554
RP11-22N19.2	ENST00000609281
CTD-2228K2.1	ENST00000509301
RP11-15I11.3	ENST00000431307
OR7E157P	ENST00000494376
MTCYBP36	ENST00000404146
ANKRD30BP2	ENST00000447861
USP2-AS1	ENST00000498979
ARFGEF1	ENST00000262215
LINC01298	ENST00000523171
CHRNA10	ENST00000250699
GTF2A1L	ENST00000403751
RP11-404O13.5	ENST00000415019
RP11-889L3.1	ENST00000477964
RP11-715I4.1	ENST00000445577
RP11-417O11.5	ENST00000416076
RP11-1152B5.1	ENST00000515228
RP11-1252I4.2	ENST00000511650
GLYCTK	ENST00000436784
AC105402.3	ENST00000413336
RP11-307C19.1	ENST00000561283
RPL23AP59	ENST00000399415
RP11-429O2.1	ENST00000519036
CARD16	ENST00000375706
RN7SL148P	ENST00000467120
RN7SL260P	ENST00000521103
MSRB1	ENST00000399753
AC011366.3	ENST00000523446
RP11-800A18.4	ENST00000592906
CHD1	ENST00000284049
GNGT1	ENST00000248572
AC103563.8	ENST00000448734
IGLVI-42	ENST00000522485
AC010987.6	ENST00000457448
CTC-435M10.10	ENST00000598988
ZBTB20-AS1	ENST00000475939
ENO1-IT1	ENST00000414948
CTD-3088G3.8	ENST00000598234
RFPL2	ENST00000248983
MIR3152	ENST00000579801
RNU6-364P	ENST00000384387
MIGA2	ENST00000358369
WI2-2118C23.2	ENST00000612533
RP11-395E19.5	ENST00000620024
NDUFA4P2	ENST00000489989
STK24P1	ENST00000455035
SAMD12-AS1	ENST00000625758
RP3-446N13.2	ENST00000624756
RNU6-812P	ENST00000363178
CTD-2037L6.2	ENST00000505861
AC073333.1	ENST00000623891
RP11-734C14.2	ENST00000530974
ZBTB8OSP1	ENST00000342688
ZBTB18	ENST00000358704
DLX6	ENST00000518156
RP11-94C24.8	ENST00000509260
ZNF551	ENST00000282296
AC078899.1	ENST00000521432
RNU6-458P	ENST00000384179
LCMT1-AS2	ENST00000565214
BOK	ENST00000318407
FAM19A2	ENST00000416284
NKX1-2	ENST00000451024
SNORD7	ENST00000384567
CTA-212A2.2	ENST00000623490
OR51F5P	ENST00000609912
TCF3	ENST00000453954
BCRP3	ENST00000447261
RP11-356K23.2	ENST00000556926
AC092171.4	ENST00000444210
MIR8067	ENST00000618843
RP11-16C1.2	ENST00000578539
RP11-202D18.2	ENST00000440589
RP5-837J1.1	ENST00000479840
POLB	ENST00000265421
BPIFA2	ENST00000253362
RAB28P1	ENST00000411517
RNU4-7P	ENST00000364758
KCNA7	ENST00000221444
RP11-110G21.2	ENST00000518507
KRT18P31	ENST00000506277
C3orf67	ENST00000482387
RP11-640N20.4	ENST00000625123
SNHG21	ENST00000561107
ARL13A	ENST00000450457
RNU6-204P	ENST00000362465
ZIM2	ENST00000593711
RP11-977G19.5	ENST00000553176
YWHABP2	ENST00000540201
PRY2	ENST00000303804
RP11-26J3.3	ENST00000606512
AC002398.11	ENST00000591091
RP11-530N7.3	ENST00000573755
CTD-2540L5.6	ENST00000500016
TPT1P10	ENST00000312966
NAA38	ENST00000333775
MIR6871	ENST00000613433
UNC13B	ENST00000635942
MIR5701-3	ENST00000578890
RP11-767C1.1	ENST00000448129
ADAMTS8	ENST00000257359
RPL9P5	ENST00000479477
RP11-294C11.11	ENST00000637370
LINC01565	ENST00000356020
DEPTOR	ENST00000286234
RN7SL563P	ENST00000481233
RAB3C	ENST00000282878
RNA5SP379	ENST00000364599
AC007919.18	ENST00000429380
UBL7	ENST00000361351
OSTCP6	ENST00000407493
FAM65C	ENST00000045083
ABCD2	ENST00000308666
RP11-327I22.3	ENST00000621265
ALG1L15P	ENST00000482834
DLGAP1-AS1	ENST00000317114
OR5BT1P	ENST00000553218
FOLH1B	ENST00000529567
RP11-662M24.1	ENST00000443685
POM121L6P	ENST00000441186
SRY	ENST00000383070
RP3-508I15.9	ENST00000444381
IGHVII-30-1	ENST00000522218
H2BFS	ENST00000599962
CTC-378H22.1	ENST00000527895
RP11-188I24.1	ENST00000588959
RP11-466J24.1	ENST00000507410
RNU7-133P	ENST00000459188
LRRC47	ENST00000378251
RP11-474L11.5	ENST00000533798
CBX3P6	ENST00000430257
ST7-OT4_2	ENST00000619089
RP11-326C3.14	ENST00000602809
RP11-661C3.2	ENST00000579037
KIRREL2	ENST00000360202
AC125238.3	ENST00000448842
ZNF707	ENST00000358656
DUSP5P2	ENST00000426873
SNORA70D	ENST00000578836
LINC00581	ENST00000630914
RNU6-1115P	ENST00000362490
RP11-59N23.3	ENST00000541860
FAM25BP	ENST00000624613
NALCN	ENST00000251127
CTD-2659N19.10	ENST00000585496
RP11-20I23.11	ENST00000569220
RP11-402K9.1	ENST00000412509
POLG	ENST00000268124
RP5-1101C3.1	ENST00000602012
MDM2	ENST00000258149
CTD-2384A14.1	ENST00000551588
GJA8	ENST00000369235
IGSF8	ENST00000314485
RPS6KA2-IT1	ENST00000416770
TRBV17	ENST00000619103
RNA5SP397	ENST00000391323
RP11-142I2.1	ENST00000603448
CNOT2	ENST00000229195
CTD-2135D7.4	ENST00000575767
RP11-437L7.1	ENST00000569751
FLJ40288	ENST00000332558
RP11-769N21.2	ENST00000519711
IGKV3D-15	ENST00000417279
RP11-53I6.4	ENST00000583138
RP11-462G12.1	ENST00000576810
CTD-3088G3.6	ENST00000572950
RP11-867G23.13	ENST00000534065
RNU6-1101P	ENST00000516244
CDAN1	ENST00000356231
RP11-552E4.4	ENST00000429428
EDAR	ENST00000376651
CLP1	ENST00000529430
AC016999.2	ENST00000447880
DENND4A	ENST00000635620
RPL12P9	ENST00000412942
CTC-1337H24.3	ENST00000613900
AC010547.9	ENST00000561908
OR11H1	ENST00000252835
CIAPIN1	ENST00000394391
SLC4A11	ENST00000380059
RP11-19H6.1	ENST00000603755
SFTPC	ENST00000318561
CTD-3113P16.11	ENST00000632484
RNA5SP485	ENST00000365053
AE000661.36	ENST00000543361
RP11-142J21.2	ENST00000558258
RP11-98D18.16	ENST00000596133
RP11-175K6.1	ENST00000499583
RP11-480D4.5	ENST00000506236
AC004941.5	ENST00000427009
DPH6-AS1	ENST00000501169
RP11-195F19.5	ENST00000421828
MIR3160-2	ENST00000637870
OXT	ENST00000217386
RPL21P110	ENST00000433345
MIR4537	ENST00000581717
LINC00845	ENST00000417931
RP11-252A24.8	ENST00000614366
CYCSP43	ENST00000438233
PNRC2P1	ENST00000423940
KLHL36	ENST00000564996
ATP6V1B1	ENST00000234396
RNU6ATAC35P	ENST00000609276
CRP	ENST00000255030
MEMO1	ENST00000379383
MIR8069-2	ENST00000621412
RP11-586E1.1	ENST00000507903
FAM127C	ENST00000391440
SDCBPP2	ENST00000424643
RP11-279O17.1	ENST00000566208
FIBCD1	ENST00000372338
PNMA6A	ENST00000421798
KRTAP10-7	ENST00000609664
CYP51A1-AS1	ENST00000453068
AC003973.3	ENST00000624863
UTRN	ENST00000367545
RP11-116N8.4	ENST00000546376
KMT5C	ENST00000255613
RP11-424M22.3	ENST00000541892
RPL26P34	ENST00000431005
RP11-357K6.1	ENST00000545276
FRAS1	ENST00000512123
RP11-848P1.3	ENST00000579561
SEPT6	ENST00000343984
RP11-91I20.1	ENST00000373384
GNAQP1	ENST00000444815
THAP2	ENST00000308086
CTC-360J11.7	ENST00000615802
ATP5F1P1	ENST00000433775
VSTM2A	ENST00000404951
PDPN	ENST00000294489
HIGD1A	ENST00000452906
BAALC	ENST00000297574
RP11-419L4.1	ENST00000503542
AC092610.12	ENST00000454916
RNA5SP100	ENST00000410903
HPS3	ENST00000296051
SYNPR	ENST00000478300
RP11-144G6.13	ENST00000605187
SALL1P1	ENST00000438101
UNC93B6	ENST00000525262
RP11-529G21.3	ENST00000477323
CTC-543D15.1	ENST00000567299
MAZ	ENST00000219782
TMEM213	ENST00000442682
CEACAM4	ENST00000600925
RN7SL732P	ENST00000581157
ZNF519	ENST00000590202
PPARGC1B	ENST00000309241
RASSF6	ENST00000342081
NDUFB2P1	ENST00000506966
KRTAP27-1	ENST00000382835
RP11-34F20.7	ENST00000618151
